multiprune,pluslayer,plushead,acc1
7.0,0.0,11.0,71.72
7.0,0.0,2.0,71.182
7.0,0.0,0.0,70.786
7.0,1.0,7.0,71.272
7.0,1.0,10.0,71.728
7.0,1.0,9.0,71.724
7.0,1.0,8.0,71.93
7.0,1.0,5.0,71.506
7.0,2.0,4.0,71.87
7.0,2.0,8.0,71.88
7.0,2.0,6.0,71.352
7.0,2.0,2.0,71.14
7.0,2.0,11.0,71.154
7.0,3.0,3.0,72.198
7.0,3.0,6.0,71.96
7.0,3.0,0.0,72.03
7.0,3.0,10.0,71.742
7.0,3.0,9.0,70.966
7.0,4.0,0.0,71.628
7.0,4.0,8.0,72.506
7.0,4.0,1.0,72.078
7.0,4.0,11.0,72.052
7.0,4.0,5.0,71.586
7.0,5.0,8.0,72.416
7.0,5.0,10.0,72.674
7.0,5.0,2.0,72.238
7.0,5.0,0.0,72.088
7.0,5.0,4.0,72.284
8.0,0.0,1.0,66.896
8.0,0.0,11.0,66.724
8.0,0.0,2.0,66.622
8.0,0.0,0.0,66.07
8.0,1.0,10.0,66.264
8.0,1.0,9.0,66.928
8.0,1.0,8.0,67.378
8.0,1.0,5.0,66.582
8.0,2.0,8.0,67.236
8.0,2.0,6.0,66.35
8.0,2.0,2.0,65.788
8.0,2.0,11.0,66.024
8.0,3.0,6.0,67.142
8.0,3.0,0.0,67.266
8.0,3.0,10.0,66.854
8.0,3.0,9.0,66.208
8.0,4.0,8.0,67.968
8.0,4.0,1.0,67.252
8.0,4.0,11.0,67.518
8.0,4.0,5.0,66.73
8.0,5.0,10.0,68.458
8.0,5.0,2.0,67.768
8.0,5.0,0.0,67.824
8.0,5.0,4.0,67.156
9.0,0.0,11.0,61.71
9.0,0.0,2.0,60.63
9.0,0.0,0.0,60.186
9.0,1.0,9.0,61.898
9.0,1.0,8.0,61.956
9.0,1.0,5.0,60.622
9.0,2.0,6.0,61.112
9.0,2.0,2.0,59.976
9.0,2.0,11.0,59.89
9.0,3.0,0.0,61.558
9.0,3.0,10.0,61.33
9.0,3.0,9.0,61.182
9.0,4.0,1.0,61.514
9.0,4.0,11.0,63.118
9.0,4.0,5.0,61.278
9.0,5.0,2.0,63.174
9.0,5.0,0.0,63.086
9.0,5.0,4.0,61.524
10.0,0.0,2.0,51.004
10.0,0.0,0.0,50.24
10.0,1.0,8.0,52.788
10.0,1.0,5.0,48.744
10.0,2.0,2.0,48.6
10.0,2.0,11.0,48.144
10.0,3.0,10.0,50.298
10.0,3.0,9.0,50.892
10.0,4.0,11.0,51.29
10.0,4.0,5.0,50.166
10.0,5.0,0.0,53.766
10.0,5.0,4.0,50.72
11.0,0.0,0.0,34.988
11.0,1.0,5.0,35.662
11.0,2.0,11.0,34.074
11.0,3.0,9.0,37.168
11.0,4.0,5.0,36.476
11.0,5.0,4.0,37.288
