multiprune,headstr,pluslayer,plushead,acc1
1,7.11.0.7.9.9,4,5,80.56
1,7.11.0.7.9.9,4,6,80.792
1,7.11.0.7.9.9,4,7,80.696
1,7.11.0.7.9.9,4,8,80.556
1,7.11.0.7.9.9,4,10,80.516
1,7.11.0.7.9.9,4,11,80.504
1,7.11.0.7.9.9,5,0,80.67
1,7.11.0.7.9.9,5,1,80.67
1,7.11.0.7.9.9,5,2,80.582
1,7.11.0.7.9.9,5,3,80.668
1,7.11.0.7.9.9,5,4,80.49
1,7.11.0.7.9.9,5,5,80.69
1,7.11.0.7.9.9,5,6,80.716
1,7.11.0.7.9.9,5,7,80.686
1,7.11.0.7.9.9,5,8,80.73
1,7.11.0.7.9.9,5,10,80.648
1,7.11.0.7.9.9,5,11,80.78
2,1+7.11+4.0+3.8+7.9+6.9+11,0,0,80.062
2,1+7.11+4.0+3.8+7.9+6.9+11,0,2,79.918
2,1+7.11+4.0+3.8+7.9+6.9+11,0,3,80.27
2,1+7.11+4.0+3.8+7.9+6.9+11,0,4,80.238
2,1+7.11+4.0+3.8+7.9+6.9+11,0,5,80.15
2,1+7.11+4.0+3.8+7.9+6.9+11,0,6,80.264
2,1+7.11+4.0+3.8+7.9+6.9+11,0,8,80.358
2,1+7.11+4.0+3.8+7.9+6.9+11,0,9,80.162
2,1+7.11+4.0+3.8+7.9+6.9+11,0,10,80.302
2,1+7.11+4.0+3.8+7.9+6.9+11,0,11,80.178
2,1+7.11+4.0+3.8+7.9+6.9+11,1,0,80.23
2,1+7.11+4.0+3.8+7.9+6.9+11,1,1,80.34
2,1+7.11+4.0+3.8+7.9+6.9+11,1,2,80.214
2,1+7.11+4.0+3.8+7.9+6.9+11,1,3,80.322
2,1+7.11+4.0+3.8+7.9+6.9+11,1,5,79.868
2,1+7.11+4.0+3.8+7.9+6.9+11,1,6,80.318
2,1+7.11+4.0+3.8+7.9+6.9+11,1,7,80.16
2,1+7.11+4.0+3.8+7.9+6.9+11,1,8,80.274
2,1+7.11+4.0+3.8+7.9+6.9+11,1,9,80.212
2,1+7.11+4.0+3.8+7.9+6.9+11,1,10,80.264
2,1+7.11+4.0+3.8+7.9+6.9+11,2,1,80.106
2,1+7.11+4.0+3.8+7.9+6.9+11,2,2,80.146
2,1+7.11+4.0+3.8+7.9+6.9+11,2,4,80.304
2,1+7.11+4.0+3.8+7.9+6.9+11,2,5,80.318
2,1+7.11+4.0+3.8+7.9+6.9+11,2,6,80.266
2,1+7.11+4.0+3.8+7.9+6.9+11,2,7,80.172
2,1+7.11+4.0+3.8+7.9+6.9+11,2,8,80.252
2,1+7.11+4.0+3.8+7.9+6.9+11,2,9,80.014
2,1+7.11+4.0+3.8+7.9+6.9+11,2,10,80.268
2,1+7.11+4.0+3.8+7.9+6.9+11,2,11,80.002
2,1+7.11+4.0+3.8+7.9+6.9+11,3,0,80.124
2,1+7.11+4.0+3.8+7.9+6.9+11,3,1,80.264
2,1+7.11+4.0+3.8+7.9+6.9+11,3,2,80.386
2,1+7.11+4.0+3.8+7.9+6.9+11,3,3,80.274
2,1+7.11+4.0+3.8+7.9+6.9+11,3,4,80.214
2,1+7.11+4.0+3.8+7.9+6.9+11,3,5,80.25
2,1+7.11+4.0+3.8+7.9+6.9+11,3,6,80.28
2,1+7.11+4.0+3.8+7.9+6.9+11,3,9,79.974
2,1+7.11+4.0+3.8+7.9+6.9+11,3,10,80.214
2,1+7.11+4.0+3.8+7.9+6.9+11,3,11,80.32
2,1+7.11+4.0+3.8+7.9+6.9+11,4,0,80.038
2,1+7.11+4.0+3.8+7.9+6.9+11,4,1,80.164
2,1+7.11+4.0+3.8+7.9+6.9+11,4,2,80.318
2,1+7.11+4.0+3.8+7.9+6.9+11,4,3,80.2
2,1+7.11+4.0+3.8+7.9+6.9+11,4,4,80.268
2,1+7.11+4.0+3.8+7.9+6.9+11,4,5,80.16
2,1+7.11+4.0+3.8+7.9+6.9+11,4,7,80.158
2,1+7.11+4.0+3.8+7.9+6.9+11,4,8,80.12
2,1+7.11+4.0+3.8+7.9+6.9+11,4,10,80.096
2,1+7.11+4.0+3.8+7.9+6.9+11,4,11,80.214
2,1+7.11+4.0+3.8+7.9+6.9+11,5,0,80.194
2,1+7.11+4.0+3.8+7.9+6.9+11,5,1,80.208
2,1+7.11+4.0+3.8+7.9+6.9+11,5,2,80.196
2,1+7.11+4.0+3.8+7.9+6.9+11,5,3,80.32
2,1+7.11+4.0+3.8+7.9+6.9+11,5,4,80.128
2,1+7.11+4.0+3.8+7.9+6.9+11,5,5,80.314
2,1+7.11+4.0+3.8+7.9+6.9+11,5,6,80.326
2,1+7.11+4.0+3.8+7.9+6.9+11,5,7,80.294
2,1+7.11+4.0+3.8+7.9+6.9+11,5,8,80.228
2,1+7.11+4.0+3.8+7.9+6.9+11,5,10,80.172
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,0,0,79.386
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,0,2,79.334
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,0,3,79.502
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,0,4,79.752
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,0,5,79.582
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,0,6,79.736
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,0,9,79.594
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,0,10,79.738
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,0,11,79.642
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,1,0,79.676
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,1,2,79.626
